text,label
Congratulations! You've won a free iPhone!,spam
Can we meet for lunch tomorrow?,ham
You have been selected for a cash prize of $5000.,spam
Here’s the document you requested.,ham
Get your free gift card now by clicking here.,spam
Let's catch up over coffee next week.,ham
Urgent: Update your bank details to avoid suspension.,spam
Reminder: Your appointment is at 3 PM.,ham
Limited offer! Claim your discount before it expires.,spam
Team meeting scheduled for Friday.,ham
Win big with our lottery today. Enter now!,spam
Please review the attached report.,ham
Free subscription for one year. Sign up now.,spam
Happy birthday! Hope you have a great day!,ham
Act fast! Exclusive deal just for you.,spam
Are we still on for the project call?,ham
Earn money from home with zero investment!,spam
Don’t forget to submit your assignment.,ham
You are pre-approved for a personal loan.,spam
Family dinner at my place tonight.,ham
Click here to claim your prize instantly.,spam
Where should we go for the weekend trip?,ham
Investment opportunity with guaranteed returns.,spam
Thanks for your feedback on the design.,ham
Unlock your $100 reward card now.,spam
The invoice has been attached.,ham
Risk-free trading account - open today.,spam
Looking forward to seeing you soon!,ham
Urgent notice about your credit score.,spam
Shall I book the conference room?,ham
Low-interest credit card just for you.,spam
I'll send over the proposal by EOD.,ham
Get rich quick with our new crypto scheme.,spam
Can you approve the budget increase?,ham
This is not spam it's your lucky day!,spam
Here’s the latest update from the team.,ham
100% free access to premium content.,spam
Let’s finalize the plan by tomorrow.,ham
You’ve been chosen! Don’t miss this chance.,spam
Your package has been delivered successfully.,ham
Act now to secure your lottery winnings!,spam
Lunch meeting moved to 2 PM.,ham
Open your free trading account today!,spam
Final reminder: team call at 4 PM.,ham
Claim your vacation now! Offer ends soon.,spam
Just checking in. How's the report coming?,ham
Exclusive VIP access just for you!,spam
Updated agenda for the marketing sync.,ham
Reply to win your cash reward instantly!,spam
Please update the slide deck before EOD.,ham
You've qualified for a free membership.,spam
Good job on the presentation today!,ham
Your account is flagged. Click here to verify.,spam
I'll be out of office this Friday.,ham
Massive savings inside - don't miss out!,spam
Let's connect on the new proposal.,ham
Free crypto airdrop. Claim yours!,spam
Can we delay the meeting by 30 mins?,ham
Click below to secure your reward.,spam
Great work on the Q2 report.,ham
You've won a brand new laptop!,spam
Will you join the client call later?,ham
Zero-interest EMI offer just for today.,spam
Dinner at our place tomorrow?,ham
Security alert: reset your password now.,spam
Is the draft for the newsletter ready?,ham
Lucky draw entry confirmed. Await your prize.,spam
The client approved our proposal.,ham
Flash sale! Prices slashed 70%.,spam
Need your inputs on the wireframes.,ham
Complete your profile and get rewards.,spam
Let's wrap up the sprint review tomorrow.,ham
VIP membership free for limited users.,spam
Don't forget your one-on-one at 10.,ham
Bonus unlocked! Log in to redeem.,spam
Forwarding notes from the strategy call.,ham
You're a winner! Claim your cash now.,spam
Have you booked the hotel for the trip?,ham
Apply now for instant approval credit.,spam
Design feedback shared in comments.,ham
Guaranteed income from day one!,spam
Team offsite discussion notes attached.,ham
Instant approval loan for you!,spam
All systems are green on staging.,ham
Your gift is waiting. Open now!,spam
Take a look at the campaign results.,ham
You've been randomly selected for a reward.,spam
Timeline for the sprint looks good.,ham
Don't miss this once-in-a-lifetime deal!,spam
Minutes of the meeting are attached.,ham
You could be our next jackpot winner!,spam
See updates on the roadmap here.,ham
This deal won't last long. Act fast!,spam
Project handoff scheduled for next week.,ham
Redeem your points now before expiry.,spam
Scheduling the design review at 11.,ham
You’ve unlocked a bonus! Click to redeem.,spam
We should sync with the QA team soon.,ham
Subject: Immediate Job Opening – Work From Anywhere!,spam
Body: We reviewed your resume and are offering you a part-time position. Please send your ID and bank info to proceed.,spam
